ABBREV	DISEASE	OMOP	SYMBOLS
PPKP1	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE I	4300110,35208670,45423786,37397140	AAGAB
HHT	HEREDITARY HEMORRHAGIC TELANGIECTASIA	45552850,4348488,45460052,44833585,313504,35207877,1414855,45506712	ACVRL1,ENG
PFM2	PARIETAL FORAMINA 2	37399396	ALX4
KBG	KBG SYNDROME	46272740	ANKRD11
FAP	FAMILIAL ADENOMATOUS POLYPOSIS	4248251,45499804,45503132,45443043,37396158	APC
FHCL2	HYPERCHOLESTEROLEMIA, FAMILIAL, 2	43022006,4029890,37200313,37200312,4134862,45441652,45459846,45418599,44834564,4029259	APOB
CFS	COFFIN-SIRIS SYNDROME	4002097	ARID2,ARID1A,ARID1B
BOPS	BOHRING-OPITZ SYNDROME	36717129	ASXL1
PPH1	PULMONARY HYPERTENSION, PRIMARY, 1	44783619,3369939,42488399,44783618,45436743,44823113,45552787,3379255,35207707,4119611,3417605,37608656,1413909,37084530	BMPR2
HBOC	BREAST-OVARIAN CANCER, FAMILIAL	37397555	BRCA2,BRCA1
EA2	EPISODIC ATAXIA, TYPE 2	4227348,4225990	CACNA1A
CECBA	CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES	37118953	CAMTA1
HRPT2	HYPERPARATHYROIDISM 2 WITH JAW TUMORS	4029430	CDC73
MEN	MULTIPLE ENDOCRINE NEOPLASIA, TYPE I/IV	44832199,30678,45449796,45537967,28127	MEN1,CDKN1B
CHARGE	CHARGE SYNDROME	4165529	CHD7
OI1	OSTEOGENESIS IMPERFECTA, TYPE I	45467343,4273695,35211128,78257,45470788,45513935,45470789,45453802,45513934,45493936,45484019,4273103,44831561,45440506,4294184,45477354	COL1A1
STL1	STICKLER SYNDROME, TYPE I	605240,4302891,45500563	COL2A1
EDSVASC	EHLERS-DANLOS SYNDROME, VASCULAR TYPE	4062070,45487370,79145,45470791,1553840	COL3A1
EDSCL1	EHLERS-DANLOS SYNDROME, CLASSIC TYPE	1553838,37395762,45487370,79145,45453804	COL5A1
BRSS	BROOKE-SPIEGLER SYNDROME	45766385	CYLD
PPB	DICER1 TUMOR PREDISPOSITION	45771258	DICER1
ARVD	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA	4101624,1414106,37399476,45500079,35207763,37607539,37084614,42488475,45533451	PKP2,DSP
TCS	TREACHER COLLINS SYNDROME	45497214,37093484,35211105,42496585,37612324,1426738,45592390,4304838	TCOF1,EFTUD2,POLR1D
SVAS	SUPRAVALVULAR AORTIC STENOSIS	35210835,4324704	ELN
CRS4	CRANIOSYNOSTOSIS 4	45523802,45769883,4031260,4109049,45503873,4210998,44837401,4032993,35211101,4033444,4113595,45757621	ERF
THC5	THROMBOCYTOPENIA 5	45513260,45506526,45473391,45439877,45542714,45420174,45429968,441264	ETV6
EXT	EXOSTOSES, MULTIPLE	45443788,4113600,35211134,45430602	EXT1,EXT2
BOS1	BRANCHIOOTIC SYNDROME 1	45497215,35622687,4103701	EYA1
MFS	MARFAN SYNDROME	45568098,258540,45606783,45582684,45582683,44836264,35622379,45568097,45497213,4124854,604613,1572171	FBN1
HH2	HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA	4244350,45426573,36716769	FGFR1
BHD1	BIRT-HOGG-DUBE SYNDROME 1	45436448,3526655,3526079,45618454,4007939	FLCN
RIEG3	AXENFELD-RIEGER SYNDROME, TYPE 3	436805,44825743,45558392	FOXC1
LPHDST	LYMPHEDEMA-DISTICHIASIS SYNDROME	37093555,44828119,1426912,42496646,4311419,45592394,35211157,37612327,4110252	FOXC2
ACDMPV	ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS	40491883,45769388	FOXF1
EVR1	EXUDATIVE VITREORETINOPATHY 1	4336007,44827714,45576732,45557399,45562227,373756,45591324,45490121	FZD4
ASD2	ATRIAL SEPTAL DEFECT 2	37402959,76798,37402964,434467,44825750,44836238,45510433,4245618,40487103,37402961,37402965,45470721,37402958,4289309,45500490,45473962,44825749,45513860,45510434,45450429,45431702,40490482,44832679,4101032,37402960,37402963,37402962,45447074	GATA4
BDAD	BRACHYDACTYLY, AUTOSOMAL DOMINANT	36715088,45440500,4273536,45497179	GDF5,PTHLH
HPE	HOLOPROSENCEPHALY	4099836,45453717,1425234,37614931,4102522,45572946,42496077,3655589,35210705,4099835,37092862,4149584	GLI2,TGIF1,SHH,SIX3,ZIC2
GCPS	GREIG CEPHALOPOLYSYNDACTYLY SYNDROME	4139751,45420793	GLI3
