DIS_ABBREV	HPO
PPKP1	HP:0007530,HP:0025092,HP:0040162,HP:0001597,HP:0025114
HHT	HP:0002875,HP:0012151,HP:0000214,HP:0001217,HP:0100869,HP:0002091,HP:0001009,HP:0006574,HP:0000471,HP:0012418,HP:0000524,HP:0002249,HP:0002573,HP:0002140,HP:0002094,HP:0002604,HP:0002707,HP:0002326,HP:0001342,HP:0040223,HP:0100585,HP:0000228,HP:0100858,HP:0100749,HP:0002076,HP:0001903,HP:0030491,HP:0000434,HP:0002626,HP:0030877,HP:0000227,HP:0004406,HP:0006548,HP:0001722,HP:0002239,HP:0002105,HP:0006107,HP:0002408,HP:0001901,HP:0002092,HP:0030049,HP:0007380,HP:0001394,HP:0002248,HP:0002390,HP:0002642,HP:0001250,HP:0001694,HP:0011934,HP:0002138,HP:0002629,HP:0001232,HP:0000961,HP:0000822
PFM2	HP:0002084,HP:0005280,HP:0000316,HP:0002697,HP:0007385,HP:0012811
KBG	HP:0000411,HP:0001572,HP:0000486,HP:0000343,HP:0000470,HP:0001159,HP:0000465,HP:0002948,HP:0009466,HP:0002353,HP:0007018,HP:0011842,HP:0002942,HP:0000400,HP:0010804,HP:0000430,HP:0000426,HP:0008513,HP:0004279,HP:0000494,HP:0000248,HP:0000307,HP:0009464,HP:0004209,HP:0000508,HP:0000252,HP:0000677,HP:0001566,HP:0002750,HP:0004474,HP:0000902,HP:0000039,HP:0000506,HP:0008438,HP:0002162,HP:0001263,HP:0000664,HP:0000311,HP:0000294,HP:0000954,HP:0000463,HP:0010720,HP:0004322,HP:0000891,HP:0002650,HP:0000028,HP:0001250,HP:0000316,HP:0011968,HP:0012725,HP:0000358,HP:0000219,HP:0045017,HP:0040019,HP:0000637,HP:0001249,HP:0000325,HP:0000574,HP:0000175
FAP	HP:0002885,HP:0007129,HP:0000706,HP:0030692,HP:0008256,HP:0031459,HP:0001909,HP:0009592,HP:0002249,HP:0002573,HP:0100014,HP:0006771,HP:0000505,HP:0001000,HP:0100244,HP:0002014,HP:0011512,HP:0002671,HP:0011459,HP:0000953,HP:0200040,HP:0009733,HP:0002027,HP:0000164,HP:0010619,HP:0033770,HP:0002890,HP:0200008,HP:0005227,HP:0002516,HP:0012032,HP:0000957,HP:0002893,HP:0006283,HP:0001103,HP:0002894,HP:0031524,HP:0100006,HP:0002013,HP:0033769,HP:0030553,HP:0011069,HP:0010562,HP:0007649,HP:0003003,HP:0001012,HP:0002672,HP:0006722,HP:0002315,HP:0001251,HP:0004783,HP:0000365,HP:0002018,HP:0012125,HP:0100246,HP:0001137,HP:0010614,HP:0025388,HP:0030731,HP:0002888,HP:0011068,HP:0030434,HP:0003002,HP:0002665,HP:0000670,HP:0012174,HP:0001085,HP:0100245,HP:0002019,HP:0002884,HP:0002342,HP:0006744,HP:0002895,HP:0002176,HP:0004394
FHCL2	HP:0003141,HP:0003124,HP:0001084,HP:0001677,HP:0001114
CFS	HP:0003298,HP:0030084,HP:0001511,HP:0000348,HP:0100702,HP:0002033,HP:0000369,HP:0005280,HP:0002020,HP:0000384,HP:0000347,HP:0000086,HP:0001357,HP:0000377,HP:0100033,HP:0001305,HP:0001321,HP:0001629,HP:0000294,HP:0000331,HP:0000954,HP:0008665,HP:0000601,HP:0000998,HP:0000158,HP:0002079,HP:0200105,HP:0000718,HP:0006237,HP:0002650,HP:0002566,HP:0000358,HP:0000574,HP:0000405,HP:0000776,HP:0001537,HP:0000752,HP:0002003,HP:0000455,HP:0003083,HP:0008872,HP:0000965,HP:0002719,HP:0001156,HP:0000691,HP:0002808,HP:0001620,HP:0001636,HP:0002592,HP:0008398,HP:0200104,HP:0001263,HP:0000365,HP:0000879,HP:0000368,HP:0001270,HP:0006863,HP:0000179,HP:0000684,HP:0001250,HP:0000316,HP:0002645,HP:0000252,HP:0000698,HP:0001852,HP:0000483,HP:0000175,HP:0000286,HP:0000960,HP:0012471,HP:0100391,HP:0001631,HP:0002002,HP:0008897,HP:0002007,HP:0000486,HP:0006970,HP:0006498,HP:0010185,HP:0000445,HP:0002705,HP:0001627,HP:0002219,HP:0000729,HP:0009110,HP:0004209,HP:0002750,HP:0002673,HP:0001792,HP:0004322,HP:0001338,HP:0000151,HP:0001798,HP:0001212,HP:0000545,HP:0000072,HP:0002209,HP:0000219,HP:0002019,HP:0004227,HP:0001028,HP:0001249,HP:0000278,HP:0031936,HP:0000322,HP:0001999,HP:0000750,HP:0000453,HP:0000722,HP:0002751,HP:0000343,HP:0000154,HP:0001609,HP:0000280,HP:0009747,HP:0000218,HP:0007018,HP:0000505,HP:0012758,HP:0000733,HP:0002188,HP:0000047,HP:0011359,HP:0000494,HP:0000527,HP:0000248,HP:0000639,HP:0000508,HP:0001273,HP:0001290,HP:0000126,HP:0009882,HP:0002588,HP:0000767,HP:0045025,HP:0000089,HP:0000463,HP:0001643,HP:0002205,HP:0000739,HP:0002066,HP:0001388,HP:0001252,HP:0000028,HP:0011968,HP:0001007,HP:0002576,HP:0000023
BOPS	HP:0008936,HP:0000431,HP:0002870,HP:0001831,HP:0000329,HP:0001511,HP:0000187,HP:0001159,HP:0000369,HP:0005280,HP:0010291,HP:0001525,HP:0002667,HP:0002020,HP:0002643,HP:0001508,HP:0006276,HP:0000347,HP:0002540,HP:0000293,HP:0000160,HP:0002365,HP:0001305,HP:0001561,HP:0002013,HP:0001629,HP:0001371,HP:0000648,HP:0000294,HP:0040082,HP:0002282,HP:0000998,HP:0002079,HP:0001734,HP:0002566,HP:0000358,HP:0000520,HP:0006610,HP:0006895,HP:0012448,HP:0003083,HP:0008872,HP:0100334,HP:0001662,HP:0006191,HP:0000076,HP:0012453,HP:0410030,HP:0011401,HP:0002719,HP:0000582,HP:0011003,HP:0000973,HP:0001263,HP:0005026,HP:0010864,HP:0000368,HP:0006471,HP:0100874,HP:0001169,HP:0006863,HP:0100337,HP:0001250,HP:0000316,HP:0000252,HP:0001274,HP:0000175,HP:0000286,HP:0000960,HP:0002885,HP:0001105,HP:0001631,HP:0002119,HP:0002104,HP:0000486,HP:0000276,HP:0006070,HP:0001081,HP:0001182,HP:0012385,HP:0000204,HP:0000016,HP:0005487,HP:0002187,HP:0001373,HP:0001869,HP:0000664,HP:0002360,HP:0000341,HP:0004322,HP:0002558,HP:0001845,HP:0001640,HP:0000545,HP:0003049,HP:0000189,HP:0000278,HP:0001052,HP:0001376,HP:0000589,HP:0000297,HP:0012758,HP:0000587,HP:0012537,HP:0000243,HP:0001671,HP:0000767,HP:0000463,HP:0002205,HP:0001252,HP:0002803,HP:0011968,HP:0011220,HP:0001007,HP:0010733
PPH1	HP:0005317,HP:0005312,HP:0001667,HP:0002092,HP:0002094,HP:0012735,HP:0005308,HP:0005168,HP:0001708,HP:0001009,HP:0000822,HP:0001977,HP:0004964,HP:0011353
HBOC	HP:0100615,HP:0003002
EA2	HP:0000651,HP:0001152,HP:0002131,HP:0006855,HP:0002073,HP:0000640,HP:0010545,HP:0001751,HP:0000639,HP:0000473,HP:0002076,HP:0001260,HP:0000360,HP:0003401,HP:0002301,HP:0002017,HP:0001332,HP:0000708,HP:0001324,HP:0001251,HP:0002321,HP:0002486,HP:0001249
CECBA	HP:0002003,HP:0000411,HP:0001319,HP:0000750,HP:0008936,HP:0000486,HP:0000343,HP:0000233,HP:0400005,HP:0002317,HP:0000276,HP:0000218,HP:0007018,HP:0002120,HP:0000369,HP:0100540,HP:0000733,HP:0002714,HP:0004279,HP:0007015,HP:0001310,HP:0002020,HP:0000527,HP:0000494,HP:0000307,HP:0000454,HP:0000337,HP:0000256,HP:0000347,HP:0002036,HP:0000160,HP:0002236,HP:0001260,HP:0410170,HP:0000414,HP:0010485,HP:0001256,HP:0002307,HP:0001321,HP:0002069,HP:0001263,HP:0005768,HP:0001251,HP:0000463,HP:0004322,HP:0012450,HP:0001611,HP:0000718,HP:0005709,HP:0002066,HP:0000179,HP:0002378,HP:0001249,HP:0002650,HP:0001250,HP:0000316,HP:0000358,HP:0000545,HP:0000483,HP:0000752,HP:0002136,HP:0011170
HRPT2	HP:0008696,HP:0011766,HP:0008200,HP:0000939,HP:0000787,HP:0003072,HP:0002653,HP:0001959,HP:0010788,HP:0002897,HP:0000083,HP:0100027,HP:0002667,HP:0000843,HP:0002890,HP:0001733,HP:0010566,HP:0003165,HP:0006766,HP:0002015,HP:0012032,HP:0000113,HP:0004398,HP:0200025,HP:0006725,HP:0002017,HP:0000121,HP:0000107,HP:0000234,HP:0012378,HP:0006781,HP:0001324,HP:0000934,HP:0002315,HP:0002150,HP:0010614,HP:0012232,HP:0002148,HP:0006735,HP:0006780,HP:0002019,HP:0000131,HP:0008250,HP:0002574
MEN	HP:0040278,HP:0000821,HP:0012334,HP:0008200,HP:0000870,HP:0030445,HP:0030404,HP:0008256,HP:0003072,HP:0006767,HP:0030688,HP:0010783,HP:0000818,HP:0002014,HP:0010788,HP:0000854,HP:0100522,HP:0011760,HP:0002897,HP:0010615,HP:0030405,HP:0000843,HP:0009720,HP:0012197,HP:0100633,HP:0000825,HP:0003165,HP:0000957,HP:0002893,HP:0004398,HP:0002044,HP:0003118,HP:0030079,HP:0012030,HP:0001031,HP:0007449,HP:0008208,HP:0100634,HP:0006772,HP:0030731,HP:0000872,HP:0001943,HP:0008283,HP:0011761,HP:0008261,HP:0006780,HP:0008291,HP:0100570,HP:0000845,HP:0002574,HP:0012091
CHARGE	HP:0002139,HP:0000085,HP:0000860,HP:0000104,HP:0011381,HP:0000369,HP:0001888,HP:0000568,HP:0000829,HP:0003974,HP:0003048,HP:0000347,HP:0002015,HP:0001561,HP:0001629,HP:0000458,HP:0008213,HP:0010443,HP:0001776,HP:0000528,HP:0002650,HP:0011480,HP:0001537,HP:0001161,HP:0000821,HP:0200021,HP:0004058,HP:0000407,HP:0002937,HP:0000321,HP:0002901,HP:0001636,HP:0000742,HP:0004935,HP:0009556,HP:0001360,HP:0000612,HP:0001263,HP:0002623,HP:0010628,HP:0001270,HP:0000252,HP:0000316,HP:0000272,HP:0000175,HP:0001539,HP:0001631,HP:0008897,HP:0000518,HP:0000066,HP:0000465,HP:0000324,HP:0002025,HP:0012020,HP:0001642,HP:0002575,HP:0000204,HP:0001018,HP:0000050,HP:0003241,HP:0010515,HP:0000378,HP:0000394,HP:0030732,HP:0008551,HP:0001719,HP:0002247,HP:0003022,HP:0000453,HP:0000410,HP:0001684,HP:0000480,HP:0000589,HP:0000823,HP:0000494,HP:0000824,HP:0000508,HP:0002032,HP:0000126,HP:0000044,HP:0000089,HP:0001643,HP:0000772,HP:0002023,HP:0000054,HP:0000028,HP:0011968,HP:0009778,HP:0001249
OI1	HP:0000703,HP:0001634,HP:0000978,HP:0001382,HP:0000592,HP:0000963,HP:0002980,HP:0000362,HP:0004942,HP:0000938,HP:0001507,HP:0002645,HP:0003321,HP:0002659,HP:0000365,HP:0002757
STL1	HP:0001382,HP:0007773,HP:0000343,HP:0000176,HP:0000518,HP:0100734,HP:0004568,HP:0011800,HP:0003302,HP:0030663,HP:0000926,HP:0001519,HP:0001634,HP:0005280,HP:0000407,HP:0005930,HP:0002808,HP:0002655,HP:0012230,HP:0000347,HP:0001166,HP:0001387,HP:0000201,HP:0005692,HP:0004327,HP:0002652,HP:0000327,HP:0000501,HP:0001369,HP:0010891,HP:0000767,HP:0000365,HP:0000618,HP:0000463,HP:0006499,HP:0003196,HP:0031153,HP:0000541,HP:0006361,HP:0002829,HP:0002650,HP:0002758,HP:0000545,HP:0003040,HP:0000572,HP:0000520,HP:0011530,HP:0000193,HP:0000405,HP:0000272,HP:0001249,HP:0000175
EDSVASC	HP:0031157,HP:0000411,HP:0100645,HP:0025019,HP:0000015,HP:0010535,HP:0006201,HP:0100840,HP:0004372,HP:0001634,HP:0007495,HP:0000974,HP:0000230,HP:0004942,HP:0001842,HP:0000164,HP:0006535,HP:0000160,HP:0100749,HP:0000963,HP:0005692,HP:0002108,HP:0000501,HP:0002647,HP:0002321,HP:0007900,HP:0005244,HP:0010648,HP:0004937,HP:0000520,HP:0001537,HP:0025420,HP:0000951,HP:0000490,HP:0030680,HP:0000233,HP:0001374,HP:0006099,HP:0005620,HP:0000691,HP:0031364,HP:0032446,HP:0009906,HP:0002900,HP:0002797,HP:0032447,HP:0002076,HP:0001263,HP:0004947,HP:0002242,HP:0000446,HP:0002642,HP:0000316,HP:0000387,HP:0006522,HP:0100718,HP:0000563,HP:0000286,HP:0001382,HP:0006480,HP:0000168,HP:0001762,HP:0001000,HP:0002619,HP:0002705,HP:0011029,HP:0001892,HP:0002093,HP:0002326,HP:0100784,HP:0100585,HP:0000139,HP:0002617,HP:0001482,HP:0100545,HP:0001903,HP:0000506,HP:0005294,HP:0100817,HP:0001373,HP:0006323,HP:0012368,HP:0004322,HP:0010719,HP:0000592,HP:0030009,HP:0000670,HP:0025395,HP:0004944,HP:0012733,HP:0002107,HP:0000822,HP:0000271,HP:0007392,HP:0001030,HP:0100543,HP:0012151,HP:0001622,HP:0001582,HP:0000190,HP:0000212,HP:0000978,HP:0000047,HP:0000995,HP:0009771,HP:0005267,HP:0000508,HP:0002293,HP:0010318,HP:0001596,HP:0001073,HP:0002097,HP:0000767,HP:0002105,HP:0012499,HP:0006094,HP:0000499,HP:0000993,HP:0025392,HP:0000615,HP:0004970,HP:0001654,HP:0002758,HP:0000912,HP:0000704,HP:0000418,HP:0000028,HP:0004933,HP:0000023
EDSCL1	HP:0001030,HP:0001382,HP:0002783,HP:0011108,HP:0005100,HP:0010500,HP:0002010,HP:0001634,HP:0000978,HP:0000974,HP:0005222,HP:0002616,HP:0001763,HP:0001058,HP:0001073,HP:0001187,HP:0010485,HP:0001373,HP:0000767,HP:0002105,HP:0008947,HP:0004322,HP:0001083,HP:0000592,HP:0000993,HP:0025014,HP:0006316,HP:0002758,HP:0000977,HP:0000545,HP:0000394,HP:0001537,HP:0000286,HP:0000023
BRSS	HP:0100585,HP:0001056,HP:0001482,HP:0002671,HP:0008069,HP:0200034,HP:0002664
PPB	HP:0002885,HP:0002859,HP:0100528,HP:0000866,HP:0002895
ARVD	HP:0034304,HP:0001695,HP:0002094,HP:0011663,HP:0006677,HP:0004756,HP:0001635,HP:0001962,HP:0001279,HP:0006698,HP:0001645,HP:0006682,HP:0001663,HP:0002224,HP:0034364
