ABBREV	EarliestOnset	DiseaseType
PPKP1	Childhood	Other
HHT	YoungAdulthood	Other
PFM2	Childhood	CongenitalMalformation
KBG	Childhood	ComplexNeurodevelopmental
FAP	Adulthood	TumorPredisposition
FHCL2	Adulthood	Other
CFS	Childhood	ComplexNeurodevelopmental
BOPS	Childhood	ComplexNeurodevelopmental
PPH1	YoungAdulthood	Other
HBOC	Adulthood	TumorPredisposition
EA2	YoungAdulthood	Other
CECBA	Childhood	IsolatedNeurodevelopmental
HRPT2	YoungAdulthood	TumorPredisposition
MEN	YoungAdulthood	TumorPredisposition
CHARGE	Childhood	ComplexNeurodevelopmental
OI1	Childhood	Other
STL1	Childhood	CongenitalMalformation
EDSVASC	YoungAdulthood	Other
EDSCL1	Childhood	Other
BRSS	Adulthood	TumorPredisposition
PPB	YoungAdulthood	TumorPredisposition
ARVD	YoungAdulthood	Other
TCS	Childhood	ComplexNeurodevelopmental
SVAS	Childhood	Other
CRS4	Childhood	CongenitalMalformation
THC5	YoungAdulthood	TumorPredisposition
EXT	Childhood	TumorPredisposition
BOS1	Childhood	CongenitalMalformation
MFS	YoungAdulthood	Other
HH2	Childhood	Other
BHD1	YoungAdulthood	TumorPredisposition
RIEG3	Childhood	Other
LPHDST	Childhood	Other
ACDMPV	Childhood	CongenitalMalformation
EVR1	Childhood	Other
ASD2	Childhood	CongenitalMalformation
BDAD	Childhood	Other
HPE	Childhood	CongenitalMalformation
GCPS	Childhood	CongenitalMalformation
GVM	Adulthood	TumorPredisposition
PPHP	Childhood	Other
RCAD	YoungAdulthood	Other
VWS1	Childhood	CongenitalMalformation
LQT1	Childhood	Other
MCLMR	Childhood	IsolatedNeurodevelopmental
WDSTS	Childhood	ComplexNeurodevelopmental
DYT28	Childhood	IsolatedNeurodevelopmental
KABUK1	Childhood	ComplexNeurodevelopmental
BUOLS	Childhood	Other
NPS	Childhood	CongenitalMalformation
WAARS	Childhood	CongenitalMalformation
CURR	Childhood	CongenitalMalformation
LYNCH1	Adulthood	TumorPredisposition
STHAG	Childhood	Other
FGLDS	Childhood	ComplexNeurodevelopmental
NF1	Childhood	TumorPredisposition
SWNV	YoungAdulthood	TumorPredisposition
MALNS	Childhood	IsolatedNeurodevelopmental
CDLS1	Childhood	ComplexNeurodevelopmental
SYNS1	Childhood	CongenitalMalformation
BBSOAS	Childhood	IsolatedNeurodevelopmental
SRXY	Childhood	CongenitalMalformation
SOTOS	Childhood	IsolatedNeurodevelopmental
PAPRS	Childhood	CongenitalMalformation
AN1	Childhood	Other
ADPKD	YoungAdulthood	Other
METCDS	Childhood	TumorPredisposition
CMAVM1	Childhood	Other
RB1	Childhood	TumorPredisposition
HSCR1	Childhood	CongenitalMalformation
DBA	Childhood	CongenitalMalformation
DRRS	Childhood	CongenitalMalformation
DEE6	Childhood	IsolatedNeurodevelopmental
PPGL3	YoungAdulthood	TumorPredisposition
LWD	Childhood	CongenitalMalformation
GLUT1DS	Childhood	IsolatedNeurodevelopmental
LDS3	YoungAdulthood	Other
JPHT	Childhood	TumorPredisposition
RTPS1	Childhood	TumorPredisposition
CMPD	Childhood	ComplexNeurodevelopmental
LGSS	Childhood	Other
PJS	Childhood	TumorPredisposition
MRD5	Childhood	IsolatedNeurodevelopmental
UMS	Childhood	CongenitalMalformation
HOS	Childhood	CongenitalMalformation
PTHS	Childhood	IsolatedNeurodevelopmental
CHAR	Childhood	CongenitalMalformation
LFS	Childhood	TumorPredisposition
TRPS	Childhood	CongenitalMalformation
TSC	Childhood	ComplexNeurodevelopmental
SCS	Childhood	CongenitalMalformation
ANGEL	Childhood	IsolatedNeurodevelopmental
