SYMBOL	CLINGEN_PEDS_SEVERITY	CLINGEN_ADULT_SEVERITY	CONGENITAL_MULTI_MALFORMATION_SYNDROME	NEURODEVELOPMENTAL_DISORDER	TUMOR_PREDISPOSITON	ONSET
AAGAB	NS	NS	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
ACVRL1	2	2	False	False	False	YOUNG_ADULTHOOD
ALX4	NS	NS	True	False	False	CHILDHOOD
ANKRD11	NS	NS	True	True	False	CHILDHOOD
APC	2	2	False	False	True	ADULTHOOD
APOB	2	3	False	False	False	ADULTHOOD
ARCN1	NS	NS	True	True	False	CHILDHOOD
ARID1A	NS	NS	True	True	False	CHILDHOOD
ARID1B	NS	NS	True	True	False	CHILDHOOD
ARID2	NS	NS	True	True	False	CHILDHOOD
ASXL1	NS	NS	True	True	False	CHILDHOOD
AXIN2	NS	NS	False	False	True	CHILDHOOD
BMPR2	NS	2	False	False	False	YOUNG_ADULTHOOD
BRCA1	NS	2	False	False	True	ADULTHOOD
BRCA2	2	2	False	False	True	ADULTHOOD
CACNA1A	NS	NS	False	False	False	YOUNG_ADULTHOOD
CAMTA1	NS	NS	False	True	False	CHILDHOOD
CDC73	NS	2	False	False	True	YOUNG_ADULTHOOD;ADULTHOOD
CDKN1B	NS	NS	False	False	True	ADULTHOOD
CDKN2A	2	2	False	False	True	ADULTHOOD
CHD2	NS	NS	False	True	False	CHILDHOOD
CHD7	NS	NS	True	True	False	CHILDHOOD
COL1A1	NS	NS	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
COL2A1	NS	NS	True	False	False	CHILDHOOD
COL3A1	3	3	False	False	False	YOUNG_ADULTHOOD
COL5A1	NS	2	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
CUL3	NS	NS	False	True	False	CHILDHOOD
CYLD	NS	NS	False	False	True	ADULTHOOD
DICER1	2	2	False	False	True	YOUNG_ADULTHOOD
DLL1	NS	NS	False	True	False	CHILDHOOD
DSP	3	3	False	False	False	ADULTHOOD
EFTUD2	NS	NS	True	True	False	CHILDHOOD
ELN	NS	NS	False	False	False	CHILDHOOD
ENG	2	2	False	False	False	YOUNG_ADULTHOOD
ERF	NS	NS	True	False	False	CHILDHOOD
ETV6	NS	NS	False	False	True	YOUNG_ADULTHOOD;ADULTHOOD
EXT1	NS	NS	False	False	True	CHILDHOOD
EXT2	NS	NS	False	False	True	CHILDHOOD
EYA1	NS	NS	True	False	False	CHILDHOOD
FBN1	3	3	False	False	False	YOUNG_ADULTHOOD
FGFR1	NS	NS	False	False	False	CHILDHOOD
FH	2	2	False	False	True	ADULTHOOD
FLCN	1	2	False	False	True	YOUNG_ADULTHOOD;ADULTHOOD
FOXC1	NS	NS	False	False	False	CHILDHOOD
FOXC2	NS	NS	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
FOXF1	NS	NS	True	False	False	CHILDHOOD
FZD4	NS	NS	False	False	False	CHILDHOOD
GATA4	NS	NS	True	False	False	CHILDHOOD
GATA6	NS	NS	True	False	False	CHILDHOOD
GDF5	NS	NS	False	False	False	CHILDHOOD
GLI2	NS	NS	True	False	False	CHILDHOOD
GLI3	NS	NS	True	False	False	CHILDHOOD
GLMN	NS	NS	False	False	True	ADULTHOOD
GNAS	NS	NS	False	False	False	CHILDHOOD
HNF1B	NS	NS	False	False	False	YOUNG_ADULTHOOD
IRF6	NS	NS	True	False	False	CHILDHOOD
KCNQ1	3	3	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
KCNQ2	NS	NS	False	False	False	CHILDHOOD
KIF11	NS	NS	False	True	False	CHILDHOOD
KMT2A	NS	NS	True	True	False	CHILDHOOD
KMT2B	NS	NS	False	True	False	CHILDHOOD
KMT2D	NS	NS	True	True	False	CHILDHOOD
KMT2E	NS	NS	False	True	False	CHILDHOOD
LEMD3	NS	NS	False	False	False	CHILDHOOD;YOUNG_ADULTHOOD
LMX1B	NS	NS	True	False	False	CHILDHOOD;YOUNG_ADULTHOOD
MEN1	2	2	False	False	True	YOUNG_ADULTHOOD
MITF	NS	NS	False	False	False	CHILDHOOD
MNX1	NS	NS	True	False	False	CHILDHOOD
MSH2	2	2	False	False	True	ADULTHOOD
MSX1	NS	NS	False	False	False	CHILDHOOD
MYCN	NS	NS	True	True	False	CHILDHOOD
NF1	NS	2	False	False	True	CHILDHOOD;YOUNG_ADULTHOOD
NF2	2	2	False	False	True	YOUNG_ADULTHOOD
NFIX	NS	NS	False	True	False	CHILDHOOD
NIPBL	NS	NS	True	True	False	CHILDHOOD
NOG	NS	NS	True	False	False	CHILDHOOD
NR2F1	NS	NS	False	True	False	CHILDHOOD
NR5A1	NS	NS	True	False	False	CHILDHOOD
NSD1	NS	NS	False	True	False	CHILDHOOD
PAX2	NS	NS	True	False	False	CHILDHOOD
PAX3	NS	NS	False	False	False	CHILDHOOD
PAX6	NS	NS	False	False	False	CHILDHOOD
PAX9	NS	NS	False	False	False	CHILDHOOD
PBX1	NS	NS	True	False	False	CHILDHOOD
PKD1	NS	3	False	False	False	YOUNG_ADULTHOOD
PKD2	NS	3	False	False	False	YOUNG_ADULTHOOD
PKP2	3	3	False	False	False	YOUNG_ADULTHOOD;ADULTHOOD
POLR1D	NS	NS	True	False	False	CHILDHOOD
