SYMBOL	ICD9	ICD9_UKBB	ICD10	ICD10_UKBB	READ2	READ3	SNOMEDCT	OMOP
AAGAB			L85.2	L85.2	M2113	X50IY,X50Ia	717184007,402773000	35208670,37397140,4300110,45423786
ACVRL1	448.0	448.0	I78.0	I78.0	G770.	G770.	21877004	45460052,313504,35207877,45506712,44833585,4348488,45552850,1414855
ALX4						X7892	718099006	37399396
ANKRD11							711156009	46272740
APC			D13.91		BB5N0	BB5N1,BB5N0,XE2xj	72900001,715866009	45499804,45443043,45503132,4248251,37396158
APOB	272.0		E78.00,E78.01	E78.0	1W1..,C3200,1W2..	C3200,X40X2,X40X1	238081000,238079002,398036000,473145005	4029259,45441652,37200313,37200312,45418599,4029890,4134862,44834564,45459846,43022006
ARCN1								
ARID1A						X50HX	10007009	4002097
ARID1B						X50HX	10007009	4002097
ARID2						X50HX	10007009	4002097
ASXL1							720565000	36717129
AXIN2								
BMPR2	416.0	416.0	I27.0	I27.0	G410.	X2037,G410.	697899000,233944003,697897003	4119611,35207707,45436743,44823113,44783619,44783618,45552787,1413909,42488399,37084530,37608656,3417605,3379255,3369939
BRCA1							718220008,765057007	37397555
BRCA2							718220008	37397555
CACNA1A							420932006,421455009	4225990,4227348
CAMTA1							723441001	37118953
CDC73						X40KL	237653008	4029430
CDKN1B	258.01	258.0	E31.21		C184.	XE10q,X40OZ	30664006,46724008	30678,45449796,45537967,28127,44832199
CDKN2A								
CHD2								
CHD7						X00le,X00kb	47535005	4165529
COL1A1	756.51	756.5	Q78.0	Q78.0	PG51z,PG513,PG512,PG51.	PG51z,PG513,PG514,PG516,PG512,PG515,X78BB,XE1MD,X20P1	385482004,63890001,64404003,78314001,385482004	45470789,4294184,45467343,35211128,45440506,45470788,4273695,45493936,45513935,45477354,4273103,45484019,45513934,45453802,44831561,78257,4294184
COL2A1					PKy7B	PKy7B	1010668008,78675000	605240,4302891,45500563
COL3A1			Q79.63	Q79.6	PGy23,PGy2.	PGy23,PGy2.	398114001,17025000	4062070,1553840,45487370,45470791,79145
COL5A1			Q79.61	Q79.6	PGy21,PGy20,PGy2.	PGy21,PGy2.	398114001,715318006	45453804,37395762,1553838,45487370,79145
CUL3								
CYLD							703531009	45766385
DICER1							702411003	45771258
DLL1								
DSP			I42.8	I42.8	G559.	Xa1fq	253528005,715865008	4101624,1414106,37399476,45500079,35207763,37607539,37084614,42488475,45533451
EFTUD2			Q75.4	Q75.4	PG0D.	XE2ud	711543008	35211105,45497214,4304838,45592390,1426738,42496585,37093484,37612324
ELN			Q25.3	Q25.3		X780Z,X780a,XE1KO	7169009	4324704,35210835
