D_ID	GENE_SYMBOL	HGNC_ID	CLINGEN_LINK
D_ID:2753	AAGAB	HGNC:25662	https://search.clinicalgenome.org/kb/conditions/MONDO:0007858
D_ID:4571	ACVRL1	HGNC:175	https://search.clinicalgenome.org/kb/conditions/MONDO:0010880
D_ID:2439	ALX4	HGNC:450	https://search.clinicalgenome.org/kb/conditions/MONDO:0012309
D_ID:1592	ANKRD11	HGNC:21316	https://search.clinicalgenome.org/kb/conditions/MONDO:0007846
D_ID:2305	APC	HGNC:583	https://search.clinicalgenome.org/kb/conditions/MONDO:0017790
D_ID:6564	APC	HGNC:583	https://search.clinicalgenome.org/kb/conditions/MONDO:0021056
D_ID:267	APOB	HGNC:603	https://search.clinicalgenome.org/kb/conditions/MONDO:0007751
D_ID:5394	ARCN1	HGNC:649	https://search.clinicalgenome.org/kb/conditions/MONDO:0014948
D_ID:2034	ARID1A	HGNC:11110	https://search.clinicalgenome.org/kb/conditions/MONDO:0015452
D_ID:3263	ARID1B	HGNC:18040	https://search.clinicalgenome.org/kb/conditions/MONDO:0007617;https://search.clinicalgenome.org/kb/conditions/MONDO:0015452
D_ID:7134	ARID2	HGNC:18037	https://search.clinicalgenome.org/kb/conditions/MONDO:0033492;https://search.clinicalgenome.org/kb/conditions/MONDO:0015452
D_ID:20	ASXL1	HGNC:18318	https://search.clinicalgenome.org/kb/conditions/MONDO:0011510
D_ID:1716	AXIN2	HGNC:904	https://search.clinicalgenome.org/kb/conditions/MONDO:0012075
D_ID:7767	BMPR2	HGNC:1078	https://search.clinicalgenome.org/kb/conditions/MONDO:0015924;https://search.clinicalgenome.org/kb/conditions/MONDO:0024533
D_ID:1465	BRCA1	HGNC:1100	https://search.clinicalgenome.org/kb/conditions/MONDO:0011450
D_ID:7377	BRCA2	HGNC:1101	https://search.clinicalgenome.org/kb/conditions/MONDO:0012933
D_ID:7357	CACNA1A	HGNC:1388	https://search.clinicalgenome.org/kb/conditions/MONDO:0007163
D_ID:5257	CAMTA1	HGNC:18806	https://search.clinicalgenome.org/kb/conditions/MONDO:0013886
D_ID:1019	CDC73	HGNC:16783	https://search.clinicalgenome.org/kb/conditions/MONDO:0007768
D_ID:6152	CDC73	HGNC:16783	https://search.clinicalgenome.org/kb/conditions/MONDO:0007768
D_ID:2424	CDKN1B	HGNC:1785	https://search.clinicalgenome.org/kb/conditions/MONDO:0012552
D_ID:2221	CDKN2A	HGNC:1787	https://search.clinicalgenome.org/kb/conditions/MONDO:0011713
D_ID:5998	CHD2	HGNC:1917	https://search.clinicalgenome.org/kb/conditions/MONDO:0014150
D_ID:4602	CHD7	HGNC:20626	https://search.clinicalgenome.org/kb/conditions/MONDO:0008965
D_ID:1790	COL1A1	HGNC:2197	https://search.clinicalgenome.org/kb/conditions/MONDO:0008146;https://search.clinicalgenome.org/kb/conditions/MONDO:0009804;https://search.clinicalgenome.org/kb/conditions/MONDO:0008147
D_ID:3298	COL2A1	HGNC:2200	https://search.clinicalgenome.org/kb/conditions/MONDO:0007160
D_ID:4696	COL3A1	HGNC:2201	https://search.clinicalgenome.org/kb/conditions/MONDO:0017314
D_ID:1695	COL5A1	HGNC:2209	https://search.clinicalgenome.org/kb/conditions/MONDO:0019567;https://search.clinicalgenome.org/kb/conditions/MONDO:0007522
D_ID:7605	CUL3	HGNC:2553	https://search.clinicalgenome.org/kb/conditions/MONDO:0030994
D_ID:3091	CYLD	HGNC:2584	https://search.clinicalgenome.org/kb/conditions/MONDO:0011512
D_ID:6161	DICER1	HGNC:17098	https://search.clinicalgenome.org/kb/conditions/MONDO:0011014
D_ID:3593	DICER1	HGNC:17098	https://search.clinicalgenome.org/kb/conditions/MONDO:0007681
D_ID:5880	DLL1	HGNC:2908	https://search.clinicalgenome.org/kb/conditions/MONDO:0032877
D_ID:5075	DSP	HGNC:3052	https://search.clinicalgenome.org/kb/conditions/MONDO:0011831;https://search.clinicalgenome.org/kb/conditions/MONDO:0016587
D_ID:7857	EFTUD2	HGNC:30858	https://search.clinicalgenome.org/kb/conditions/MONDO:0012516
D_ID:6319	ELN	HGNC:3327	https://search.clinicalgenome.org/kb/conditions/MONDO:0008504
D_ID:1131	ENG	HGNC:3349	https://search.clinicalgenome.org/kb/conditions/MONDO:0008535
