SYMBOL	ENSEMBL_ID	CHROM	START	END	STRAND
AAGAB	ENSG00000103591	15	67200667	67255195	-
ACVRL1	ENSG00000139567	12	51906908	51923361	+
ALX4	ENSG00000052850	11	44260440	44310139	-
ANKRD11	ENSG00000167522	16	89267630	89490561	-
APC	ENSG00000134982	5	112707498	112846239	+
APOB	ENSG00000084674	2	21001429	21044073	-
ARCN1	ENSG00000095139	11	118572390	118603033	+
ARID1A	ENSG00000117713	1	26693236	26782104	+
ARID1B	ENSG00000049618	6	156776020	157210779	+
ARID2	ENSG00000189079	12	45729706	45908040	+
ASXL1	ENSG00000171456	20	32358330	32439319	+
AXIN2	ENSG00000168646	17	65528563	65561648	-
BMPR2	ENSG00000204217	2	202376327	202567751	+
BRCA1	ENSG00000012048	17	43044295	43170245	-
BRCA2	ENSG00000139618	13	32315086	32400268	+
CACNA1A	ENSG00000141837	19	13206442	13633025	-
CAMTA1	ENSG00000171735	1	6785454	7769706	+
CDC73	ENSG00000134371	1	193121983	193254815	+
CDKN1B	ENSG00000111276	12	12685498	12722369	+
CDKN2A	ENSG00000147889	9	21967752	21995301	-
CHD2	ENSG00000173575	15	92886203	93027996	+
CHD7	ENSG00000171316	8	60678740	60868028	+
COL1A1	ENSG00000108821	17	50184101	50201632	-
COL2A1	ENSG00000139219	12	47972967	48004554	-
COL3A1	ENSG00000168542	2	188974373	189012746	+
COL5A1	ENSG00000130635	9	134641803	134844843	+
CUL3	ENSG00000036257	2	224470150	224585397	-
CYLD	ENSG00000083799	16	50742050	50801935	+
DICER1	ENSG00000100697	14	95086228	95158010	-
DLL1	ENSG00000198719	6	170282206	170306565	-
DSP	ENSG00000096696	6	7541617	7586714	+
EFTUD2	ENSG00000108883	17	44849948	44899445	-
ELN	ENSG00000049540	7	74027789	74069907	+
ENG	ENSG00000106991	9	127815013	127854658	-
ERF	ENSG00000105722	19	42247569	42255128	-
ETV6	ENSG00000139083	12	11649674	11895377	+
EXT1	ENSG00000182197	8	117794490	118111826	-
EXT2	ENSG00000151348	11	44095648	44251962	+
EYA1	ENSG00000104313	8	71197433	71592025	-
FBN1	ENSG00000166147	15	48408313	48645721	-
FGFR1	ENSG00000077782	8	38400215	38468834	-
FH	ENSG00000091483	1	241497511	241519799	-
FLCN	ENSG00000154803	17	17212212	17237188	-
FOXC1	ENSG00000054598	6	1609915	1613897	+
FOXC2	ENSG00000176692	16	86566829	86569728	+
FOXF1	ENSG00000103241	16	86510527	86515422	+
FZD4	ENSG00000174804	11	86945679	86955395	-
GATA4	ENSG00000136574	8	11676959	11760002	+
GATA6	ENSG00000141448	18	22169589	22202528	+
GDF5	ENSG00000125965	20	35433347	35454746	-
GLI2	ENSG00000074047	2	120735623	120992653	+
GLI3	ENSG00000106571	7	41960949	42264100	-
GLMN	ENSG00000174842	1	92246402	92298987	-
GNAS	ENSG00000087460	20	58839718	58911192	+
HNF1B	ENSG00000275410	17	37686431	37745059	-
IRF6	ENSG00000117595	1	209785617	209806175	-
KCNQ1	ENSG00000053918	11	2444684	2849105	+
KCNQ2	ENSG00000075043	20	63400208	63472677	-
KIF11	ENSG00000138160	10	92574105	92655395	+
KMT2A	ENSG00000118058	11	118436456	118526832	+
KMT2B	ENSG00000272333	19	35717973	35738880	+
KMT2D	ENSG00000167548	12	49018975	49060794	-
KMT2E	ENSG00000005483	7	104940943	105115019	+
LEMD3	ENSG00000174106	12	65169583	65248355	+
LMX1B	ENSG00000136944	9	126613928	126701032	+
MEN1	ENSG00000133895	11	64803510	64811294	-
MITF	ENSG00000187098	3	69739456	69968336	+
MNX1	ENSG00000130675	7	156994051	157010663	-
MSH2	ENSG00000095002	2	47403067	47663146	+
MSX1	ENSG00000163132	4	4859665	4863936	+
MYCN	ENSG00000134323	2	15940550	15947007	+
NF1	ENSG00000196712	17	31094927	31382116	+
NF2	ENSG00000186575	22	29603556	29698598	+
