TX_ID	SYMBOL	CHROM	STRAND	TX_START	TX_END	5_UTR	TX_EXONS	3_UTR	CDS_LENGTH
ENST00000560362	AAGAB	15	-1	67231848	67242871	[(67242737, 67242871), (67236630, 67236820), (67236442, 67236504)]	[(67242737, 67242871), (67236630, 67236820), (67236408, 67236504), (67235979, 67236068), (67231848, 67231897)]	[]	174
ENST00000542650	AAGAB	15	-1	67202740	67255195	[(67255137, 67255195), (67236630, 67236820), (67236442, 67236504)]	[(67255137, 67255195), (67236630, 67236820), (67236408, 67236504), (67235979, 67236068), (67231814, 67231897), (67209462, 67209544), (67208562, 67208658), (67204044, 67204148), (67203548, 67203597), (67202740, 67202898)]	[(67202740, 67202820)]	621
ENST00000261880	AAGAB	15	-1	67200667	67254661	[(67254632, 67254661)]	[(67254559, 67254661), (67236630, 67236820), (67236408, 67236504), (67235979, 67236068), (67231814, 67231897), (67209462, 67209544), (67208562, 67208658), (67204044, 67204148), (67203548, 67203597), (67200667, 67202898)]	[(67200667, 67202820)]	948
ENST00000561452	AAGAB	15	-1	67201707	67254675	[(67254414, 67254675), (67236630, 67236820), (67236442, 67236504)]	[(67254414, 67254675), (67236630, 67236820), (67236408, 67236504), (67235979, 67236068), (67231814, 67231897), (67209462, 67209544), (67208562, 67208658), (67204044, 67204148), (67203548, 67203597), (67201707, 67202898)]	[(67201707, 67202820)]	621
ENST00000388922	ACVRL1	12	1	51907504	51923361	[(51907504, 51907695), (51912470, 51912474)]	[(51907504, 51907695), (51912470, 51912535), (51913099, 51913350), (51913559, 51913770), (51913974, 51914073), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919115), (51920759, 51923361)]	[(51920894, 51923361)]	1512
ENST00000551576	ACVRL1	12	1	51906908	51923361	[(51906908, 51906993), (51907497, 51907695), (51912470, 51912474)]	[(51906908, 51906993), (51907497, 51907695), (51912470, 51912535), (51913099, 51913350), (51913559, 51913770), (51913974, 51914073), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919115), (51920759, 51923361)]	[(51920894, 51923361)]	1512
ENST00000419526	ACVRL1	12	1	51912371	51921197	[(51912371, 51912432)]	[(51912371, 51912535), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919115), (51920759, 51921197)]	[(51920894, 51921197)]	990
ENST00000552678	ACVRL1	12	1	51907621	51919944	[(51907621, 51907695), (51912470, 51912474)]	[(51907621, 51907695), (51912470, 51912535), (51913099, 51913350), (51913559, 51913770), (51913974, 51914073), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919944)]	[(51919224, 51919944)]	1485
ENST00000550683	ACVRL1	12	1	51912332	51923359	[(51912332, 51912432)]	[(51912332, 51912535), (51913099, 51913350), (51913559, 51913770), (51913974, 51914073), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919115), (51920759, 51923359)]	[(51920894, 51923359)]	1554
ENST00000547400	ACVRL1	12	1	51912329	51920893	[(51912329, 51912432)]	[(51912329, 51912535), (51913099, 51913350), (51914439, 51914585), (51915225, 51915500), (51916036, 51916233), (51918985, 51919115), (51920759, 51920893)]	[]	1242
ENST00000652299	ALX4	11	-1	44260440	44310139	[(44310063, 44310139)]	[(44309597, 44310139), (44275348, 44275658), (44267494, 44267622), (44260440, 44265183)]	[(44260440, 44264853)]	1236
ENST00000647213	ANKRD11	16	-1	89291707	89490320	[(89490245, 89490320), (89418284, 89418368), (89305233, 89305344)]	[(89490245, 89490320), (89418284, 89418368), (89305206, 89305344), (89291707, 89291777)]	[]	98
ENST00000642695	ANKRD11	16	-1	89286673	89490302	[(89490245, 89490302), (89418284, 89418368), (89317020, 89317078)]	[(89490245, 89490302), (89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89286673, 89288670)]	[(89286673, 89288467)]	804
ENST00000645664	ANKRD11	16	-1	89300120	89316998	[]	[(89316933, 89316998), (89300120, 89300962)]	[(89300120, 89300839)]	189
ENST00000644285	ANKRD11	16	-1	89267701	89317019	[]	[(89316933, 89317019), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89288528, 89288670), (89275093, 89275191), (89274814, 89274957), (89270817, 89270909), (89267701, 89268663)]	[(89267701, 89268477)]	1266
ENST00000646975	ANKRD11	16	-1	89287993	89490274	[(89490245, 89490274), (89418284, 89418368), (89317020, 89317078)]	[(89490245, 89490274), (89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89288528, 89288670), (89287993, 89288253)]	[(89287993, 89288178)]	819
ENST00000563291	ANKRD11	16	-1	89300696	89328986	[(89328943, 89328986), (89317020, 89317075)]	[(89328943, 89328986), (89316933, 89317075), (89305206, 89305344), (89300696, 89300962)]	[(89300696, 89300813)]	375
ENST00000566858	ANKRD11	16	-1	89300766	89339970	[(89339870, 89339970), (89317020, 89317075)]	[(89339870, 89339970), (89316933, 89317075), (89305206, 89305344), (89300766, 89300962)]	[(89300766, 89300813)]	375
ENST00000646838	ANKRD11	16	-1	89286743	89343823	[(89343683, 89343823), (89317020, 89317075)]	[(89343683, 89343823), (89316933, 89317075), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89286743, 89288670)]	[(89286743, 89288467)]	804
ENST00000644045	ANKRD11	16	-1	89301324	89490319	[(89490245, 89490319), (89418284, 89418368), (89317020, 89317078)]	[(89490245, 89490319), (89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89301324, 89301636)]	[(89301324, 89301595)]	267
ENST00000646166	ANKRD11	16	-1	89291038	89490293	[(89490245, 89490293), (89431256, 89431326), (89418293, 89418368)]	[(89490245, 89490293), (89431256, 89431326), (89418284, 89418368), (89305206, 89305344), (89291038, 89291183)]	[]	294
ENST00000642600	ANKRD11	16	-1	89268122	89490479	[(89490245, 89490479), (89418284, 89418368), (89317020, 89317075)]	[(89490245, 89490479), (89418284, 89418368), (89316933, 89317075), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89288528, 89288670), (89286039, 89286186), (89279072, 89285649), (89275093, 89275191), (89274814, 89274957), (89270817, 89270909), (89268122, 89268663)]	[(89268122, 89268477)]	7992
ENST00000647238	ANKRD11	16	-1	89300236	89418368	[(89418284, 89418368), (89317020, 89317078)]	[(89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89300236, 89300962)]	[(89300236, 89300813)]	375
ENST00000378330	ANKRD11	16	-1	89267630	89490320	[(89490245, 89490320), (89431256, 89431326), (89418284, 89418368), (89317020, 89317078)]	[(89490245, 89490320), (89431256, 89431326), (89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89288528, 89288670), (89286039, 89286186), (89279072, 89285649), (89275093, 89275191), (89274814, 89274957), (89270817, 89270909), (89267630, 89268663)]	[(89267630, 89268477)]	7992
ENST00000567736	ANKRD11	16	-1	89298868	89320356	[(89319976, 89320356), (89317020, 89317075)]	[(89319976, 89320356), (89316933, 89317075), (89305206, 89305344), (89298868, 89300962)]	[(89298868, 89300813)]	375
ENST00000644784	ANKRD11	16	-1	89286669	89418364	[(89418284, 89418364), (89317020, 89317075)]	[(89418284, 89418364), (89316933, 89317075), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89286669, 89288670)]	[(89286669, 89288467)]	804
ENST00000642443	ANKRD11	16	-1	89283333	89418305	[(89418284, 89418305), (89317020, 89317078)]	[(89418284, 89418305), (89316933, 89317078), (89305206, 89305344), (89288528, 89288670), (89286039, 89286186), (89283333, 89285649)]	[]	2834
ENST00000642333	ANKRD11	16	-1	89287651	89373485	[(89373348, 89373485), (89372972, 89373134), (89370675, 89370740), (89317020, 89317075)]	[(89373348, 89373485), (89372972, 89373134), (89370675, 89370740), (89316933, 89317075), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89287651, 89288670)]	[(89287651, 89288467)]	804
ENST00000301030	ANKRD11	16	-1	89267630	89490561	[(89490245, 89490561), (89418284, 89418368), (89317020, 89317078)]	[(89490245, 89490561), (89418284, 89418368), (89316933, 89317078), (89305206, 89305344), (89291013, 89291183), (89290625, 89290828), (89288528, 89288670), (89286039, 89286186), (89279072, 89285649), (89275093, 89275191), (89274814, 89274957), (89270817, 89270909), (89267630, 89268663)]	[(89267630, 89268477)]	7992
ENST00000508376	APC	5	1	112737895	112846056	[(112737895, 112737925), (112738353, 112738460), (112754873, 112754890)]	[(112737895, 112737925), (112738353, 112738460), (112754873, 112755025), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112792446, 112792529), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112846056)]	[(112844127, 112846056)]	8532
ENST00000509732	APC	5	1	112707518	112846060	[(112707518, 112707649), (112754873, 112754890)]	[(112707518, 112707649), (112754873, 112755025), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112792446, 112792529), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112846060)]	[(112844127, 112846060)]	8532
ENST00000507379	APC	5	1	112707522	112844126	[(112707522, 112707717)]	[(112707522, 112707882), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112844126)]	[]	8478
ENST00000257430	APC	5	1	112737885	112846239	[(112737885, 112737925), (112754873, 112754890)]	[(112737885, 112737925), (112754873, 112755025), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112792446, 112792529), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112846239)]	[(112844127, 112846239)]	8532
ENST00000512211	APC	5	1	112738128	112844980	[(112738128, 112738460), (112754873, 112754890)]	[(112738128, 112738460), (112754873, 112755025), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112792446, 112792529), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112844980)]	[(112844127, 112844980)]	8532
ENST00000504915	APC	5	1	112737888	112844980	[(112737888, 112737925), (112754873, 112754890)]	[(112737888, 112737925), (112754873, 112755025), (112766326, 112766410), (112767189, 112767390), (112775629, 112775737), (112780790, 112780903), (112792446, 112792529), (112801279, 112801383), (112815495, 112815593), (112818966, 112819344), (112821896, 112821991), (112823307, 112823360), (112827108, 112827247), (112827929, 112828006), (112828856, 112828972), (112834951, 112835165), (112837553, 112844980)]	[(112844127, 112844980)]	8586
ENST00000399256	APOB	2	-1	21024170	21043962	[(21043946, 21043962)]	[(21043864, 21043962), (21043513, 21043551), (21042361, 21042476), (21040938, 21041083), (21037958, 21038111), (21037100, 21037255), (21035584, 21035708), (21034816, 21034901), (21033299, 21033518), (21032354, 21032581), (21029898, 21030015), (21029639, 21029785), (21028327, 21028538), (21027828, 21028065), (21026788, 21026964), (21024965, 21025124), (21024170, 21024876)]	[(21024170, 21024793)]	2487
ENST00000233242	APOB	2	-1	21001429	21044073	[(21043946, 21044073)]	[(21043864, 21044073), (21043513, 21043551), (21042361, 21042476), (21040938, 21041083), (21037958, 21038111), (21037100, 21037255), (21035584, 21035708), (21034816, 21034901), (21033299, 21033518), (21032354, 21032581), (21029898, 21030015), (21029639, 21029785), (21028327, 21028538), (21027828, 21028065), (21026788, 21026964), (21024933, 21025124), (21023525, 21023692), (21022831, 21023042), (21019723, 21019905), (21018992, 21019113), (21016439, 21016649), (21015370, 21015545), (21015073, 21015260), (21014448, 21014593), (21013160, 21013533), (21005080, 21012651), (21004561, 21004675), (21004269, 21004452), (21001429, 21003334)]	[(21001429, 21001729)]	13692
ENST00000359415	ARCN1	11	1	118572424	118602928	[(118572424, 118572550), (118573620, 118573657)]	[(118572424, 118572550), (118573620, 118573783), (118581246, 118581509), (118583179, 118583358), (118583809, 118584014), (118584480, 118584644), (118590341, 118590506), (118592709, 118592856), (118593590, 118593698), (118597707, 118597911), (118600625, 118602928)]	[(118600715, 118602928)]	1659
ENST00000392859	ARCN1	11	1	118572390	118600993	[(118572390, 118572547)]	[(118572390, 118572550), (118583179, 118583358), (118583809, 118584014), (118584480, 118584644), (118590341, 118590506), (118592709, 118592856), (118593590, 118593698), (118597707, 118597911), (118600625, 118600993)]	[(118600715, 118600993)]	1272
ENST00000264028	ARCN1	11	1	118572409	118603033	[(118572409, 118572547)]	[(118572409, 118572550), (118581246, 118581509), (118583179, 118583358), (118583809, 118584014), (118584480, 118584644), (118590341, 118590506), (118592709, 118592856), (118593590, 118593698), (118597707, 118597911), (118600625, 118603033)]	[(118600715, 118603033)]	1536
ENST00000534182	ARCN1	11	1	118572436	118603033	[(118572436, 118572547)]	[(118572436, 118572550), (118581246, 118581401), (118601636, 118603033)]	[(118601729, 118603033)]	252
