SYMBOL	ENSEMBL_ID	CHROM	START	END	STRAND	MANE_SELECT_TX	MANE_PLUS_CLINICAL	ALL_PC_TXs
AAGAB	ENSG00000103591	15	67200667	67255195	-1	ENST00000261880	set()	{'ENST00000560362', 'ENST00000542650', 'ENST00000261880', 'ENST00000561452'}
ACVRL1	ENSG00000139567	12	51906908	51923361	1	ENST00000388922	set()	{'ENST00000388922', 'ENST00000551576', 'ENST00000419526', 'ENST00000552678', 'ENST00000550683', 'ENST00000547400'}
ALX4	ENSG00000052850	11	44260440	44310139	-1	ENST00000652299	set()	{'ENST00000652299'}
ANKRD11	ENSG00000167522	16	89267630	89490561	-1	ENST00000301030	set()	{'ENST00000647213', 'ENST00000642695', 'ENST00000645664', 'ENST00000644285', 'ENST00000646975', 'ENST00000563291', 'ENST00000566858', 'ENST00000646838', 'ENST00000644045', 'ENST00000646166', 'ENST00000642600', 'ENST00000647238', 'ENST00000378330', 'ENST00000567736', 'ENST00000644784', 'ENST00000642443', 'ENST00000642333', 'ENST00000301030'}
APC	ENSG00000134982	5	112707498	112846239	1	ENST00000257430	set()	{'ENST00000508376', 'ENST00000509732', 'ENST00000507379', 'ENST00000257430', 'ENST00000512211', 'ENST00000504915'}
APOB	ENSG00000084674	2	21001429	21044073	-1	ENST00000233242	set()	{'ENST00000399256', 'ENST00000233242'}
ARCN1	ENSG00000095139	11	118572390	118603033	1	ENST00000264028	set()	{'ENST00000359415', 'ENST00000392859', 'ENST00000264028', 'ENST00000534182'}
ARID1A	ENSG00000117713	1	26693236	26782104	1	ENST00000324856	set()	{'ENST00000430799', 'ENST00000637465', 'ENST00000524572', 'ENST00000457599', 'ENST00000636219', 'ENST00000324856', 'ENST00000374152'}
ARID1B	ENSG00000049618	6	156776020	157210779	1	ENST00000636930	set()	{'ENST00000674298', 'ENST00000637810', 'ENST00000635849', 'ENST00000414678', 'ENST00000494260', 'ENST00000637532', 'ENST00000400790', 'ENST00000636930', 'ENST00000350026', 'ENST00000635928', 'ENST00000638000', 'ENST00000636748', 'ENST00000637003', 'ENST00000637887', 'ENST00000637015', 'ENST00000637904', 'ENST00000635957', 'ENST00000346085', 'ENST00000319584', 'ENST00000636607'}
ARID2	ENSG00000189079	12	45729706	45908040	1	ENST00000334344	set()	{'ENST00000477947', 'ENST00000334344', 'ENST00000457135', 'ENST00000444670', 'ENST00000422737'}
ASXL1	ENSG00000171456	20	32358330	32439319	1	ENST00000375687	set()	{'ENST00000646985', 'ENST00000643168', 'ENST00000651418', 'ENST00000620121', 'ENST00000306058', 'ENST00000375687', 'ENST00000646367', 'ENST00000497249', 'ENST00000613218', 'ENST00000375689', 'ENST00000645688'}
AXIN2	ENSG00000168646	17	65528563	65561648	-1	ENST00000307078	set()	{'ENST00000618960', 'ENST00000577278', 'ENST00000307078', 'ENST00000580513', 'ENST00000375702', 'ENST00000544103', 'ENST00000585045'}
BMPR2	ENSG00000204217	2	202376327	202567751	1	ENST00000374580	set()	{'ENST00000374574', 'ENST00000374580'}
BRCA1	ENSG00000012048	17	43044295	43170245	-1	ENST00000357654	set()	{'ENST00000652672', 'ENST00000357654', 'ENST00000634433', 'ENST00000591534', 'ENST00000470026', 'ENST00000471181', 'ENST00000591849', 'ENST00000491747', 'ENST00000473961', 'ENST00000476777', 'ENST00000477152', 'ENST00000700182', 'ENST00000354071', 'ENST00000493795', 'ENST00000494123', 'ENST00000352993', 'ENST00000468300', 'ENST00000493919', 'ENST00000484087', 'ENST00000644555', 'ENST00000461574', 'ENST00000586385', 'ENST00000497488', 'ENST00000618469', 'ENST00000644379', 'ENST00000489037', 'ENST00000478531'}
BRCA2	ENSG00000139618	13	32315086	32400268	1	ENST00000380152	set()	{'ENST00000544455', 'ENST00000380152', 'ENST00000530893', 'ENST00000680887', 'ENST00000700202'}
CACNA1A	ENSG00000141837	19	13206442	13633025	-1	ENST00000360228	set()	{'ENST00000635895', 'ENST00000636012', 'ENST00000636389', 'ENST00000637276', 'ENST00000637927', 'ENST00000360228', 'ENST00000638009', 'ENST00000664864', 'ENST00000637432', 'ENST00000637819', 'ENST00000637769', 'ENST00000573710', 'ENST00000637297', 'ENST00000635727', 'ENST00000592864', 'ENST00000585802', 'ENST00000636549', 'ENST00000637736', 'ENST00000638029', 'ENST00000636473', 'ENST00000587525'}
CAMTA1	ENSG00000171735	1	6785454	7769706	1	ENST00000303635	set()	{'ENST00000700423', 'ENST00000700445', 'ENST00000303635', 'ENST00000700421', 'ENST00000476864', 'ENST00000490905', 'ENST00000700416', 'ENST00000467404', 'ENST00000700448', 'ENST00000557126', 'ENST00000700419', 'ENST00000700449', 'ENST00000473578', 'ENST00000700425', 'ENST00000700420', 'ENST00000700415', 'ENST00000700424', 'ENST00000700417'}
CDC73	ENSG00000134371	1	193121983	193254815	1	ENST00000367435	set()	{'ENST00000367435', 'ENST00000635846'}
CDKN1B	ENSG00000111276	12	12685498	12722369	1	ENST00000228872	set()	{'ENST00000396340', 'ENST00000614874', 'ENST00000228872', 'ENST00000442489'}
CDKN2A	ENSG00000147889	9	21967752	21995301	-1	ENST00000304494	{'ENST00000579755'}	{'ENST00000494262', 'ENST00000498628', 'ENST00000579122', 'ENST00000479692', 'ENST00000304494', 'ENST00000578845', 'ENST00000579755', 'ENST00000498124', 'ENST00000497750', 'ENST00000530628'}
CHD2	ENSG00000173575	15	92886203	93027996	1	ENST00000394196	set()	{'ENST00000626874', 'ENST00000625990', 'ENST00000626782', 'ENST00000629346', 'ENST00000627622', 'ENST00000394196', 'ENST00000625243', 'ENST00000420239', 'ENST00000628375', 'ENST00000625463', 'ENST00000637613'}
CHD7	ENSG00000171316	8	60678740	60868028	1	ENST00000423902	set()	{'ENST00000525508', 'ENST00000526846', 'ENST00000423902', 'ENST00000524602', 'ENST00000700671'}
COL1A1	ENSG00000108821	17	50184101	50201632	-1	ENST00000225964	set()	{'ENST00000225964', 'ENST00000507689'}
COL2A1	ENSG00000139219	12	47972967	48004554	-1	ENST00000380518	set()	{'ENST00000380518', 'ENST00000337299'}
